commissioning_date,municipality,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,municipality_code,project_name,production,tariff,notification_date,contract_period_end,street,canton,company,lat,lon,data_source
2009-09-02,St-Gingolph,Renewable energy,Hydro,,Drinking water plant,0.048,1898,MCH Clarive / Centrale Hydraulique sur les eaux potables de St-Gingolph,401.91834,,2008-05-02,,Clarive 1560,VS,St. Gingolph Energia SA,46.3838,6.8126,BFE
2009-09-04,Port,Renewable energy,Solar,,Connected unit,0.0504,2562,PVA GZK Immobilien / Kurt Ziemer Port,51.078900000000004,,2008-05-02,,Allmendstrasse 11,BE,GZK Immobilien AG,47.1137,7.2582,BFE
2009-09-09,Eischoll,Renewable energy,Hydro,,Run-of-river,0.55,3943,KWKW CHRIZ AG Eischoll,3076.31875,,2008-05-02,,Chriz,VS,KWKW Chriz AG,46.2824,7.7648,BFE
2009-09-11,Birsfelden,Renewable energy,Bioenergy,,Biomass and biogas,0.356,4127,BHKW ARA Birs,2168.16225,,2008-05-02,,Freulerstrasse 1,BL,Amt für Industrielle Betriebe AIB,47.5481,7.6269,BFE
2009-09-14,Luzern,Renewable energy,Solar,,Integrated unit,0.1058,6006,PV ewl Verkauf AG - Bocciodromo Luzern ,101.35889999999999,,2008-11-28,,Schäferweg 21,LU,ewl Verkauf AG,47.0585,8.3337,BFE
2009-09-14,Raron,Renewable energy,Hydro,,Drinking water plant,0.09,3942,Trinkwasserkraftwerk Moos Raron,428.67087,,2008-05-07,,Scheibenmoos ,VS,Einwohnergemeinde Raron,46.3134,7.781,BFE
2009-09-15,Oberriet,Renewable energy,Solar,,Connected unit,0.2927,9463,PV Jansen AG Oberriet - Halle M Produktion ,311.40280000000007,,2008-05-02,,Eichaustrasse,SG,Jansen AG,47.3255,9.5384,BFE
2009-09-18,Luzern,Renewable energy,Solar,,Connected unit,0.7231,6005,PV ewl Verkauf AG Luzern - Messe Luzern,651.9036,,2008-05-02,,Horwerstrasse 85,LU,ewl Verkauf AG,47.0342,8.3178,BFE
2009-09-21,Bovernier,Renewable energy,Hydro,,Drinking water plant,0.152,1932,Micro-centrale hydraulique sur eau potable du Gondran Bovernier,746.41265,,2008-05-02,,Réservoir du Gondran ,VS,Commune de Martigny,46.0589,7.08,BFE
2009-09-21,Cham,Renewable energy,Solar,,Connected unit,0.0687,6330,PVA Schulhaus Eichmatt,59.24936,,2008-05-02,,Eichmattstrasse 11,ZG,WWZ Energie AG,47.1962,8.4531,BFE
2009-09-23,Seengen,Renewable energy,Bioenergy,,Biomass and biogas,0.08,5707,Gasnutzung Abwasserverband Hallwilersee Seengen,478.58031,,2008-08-13,,Schaltt 553,AG,Abwasserverband Hallwilersee,47.3273,8.2058,BFE
2009-09-24,Nendaz,Renewable energy,Bioenergy,,Biomass and biogas,0.095,1996,B Biogaz Step de Bieudron Nendaz,491.47742,,2008-06-25,,Route de Riddes 369,VS,Step Bieudron-Nendaz,46.1806,7.3256,BFE
2009-09-30,Utzenstorf,Renewable energy,Bioenergy,,Biomass and biogas,6.6,3427,RSA Papierfabrik Utzenstorf ,12486.80256,,2008-07-24,,Fabrikstrasse ,BE,Papierfabrik Utzenstorf ,47.1201,7.5639,BFE
2009-10-01,Küssnacht am Rigi,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.2,6403,*BHKW Ott Küssnacht am Rigi,373.32396,,2008-10-30,,Brüschhalden 2,SZ,Fuhr-und Kompostbetrieb,47.0867,8.4437,BFE
2009-10-01,Galgenen,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.24,8854,Biogasanlage Züger,1260.79525,,2009-01-19,,Bodenwiesweg 7,SZ,Züger Produktion + Recycling,47.1486,8.9216,BFE
2009-10-03,Kandersteg,Renewable energy,Hydro,,Diversion plant,2.315,3718,WKW Alpbach Kandersteg,11524.75013,,2008-05-02,,Eggenschwand 216A,BE,Kraftwerke Kanderalp AG c/o BKW Energie AG,46.4656,7.7137,BFE
2009-10-08,Montezillon,Renewable energy,Solar,,Integrated unit,0.0455,2037,PV L'Aubier SA Montezillon,50.95175,,2008-05-01,,Les Murailles 5,NE,L'AUBIER SA,46.9991,6.8388,BFE
2009-10-12,Camorino,Renewable energy,Solar,,Connected unit,0.05184,6528,PV AET (Azienda Elettrica Ticinese) Camorino - AET9 CMB,49.243449999999996,,2009-07-15,,Via Monda 2,TI,AET (Azienda Elettrica Ticinese),46.1565,9.0127,BFE
2009-10-21,Morbio Inferiore,Renewable energy,Hydro,,Drinking water plant,0.037,6834,Microturbina San Giorgio Morbio inferiore,193.17150000000004,,2008-05-01,,Via S. Franscini 10,TI,Acqua Gas Elettricità (AGE) SA,45.8484,9.0221,BFE
2009-10-21,Nidfurn,Renewable energy,Hydro,,Drinking water plant,0.055,8772,TWKW Weidloch Nidfurn,242.74447000000004,,2008-05-02,,Oberes Weidloch,GL,Gemeinde Glarus Süd,46.988,9.0457,BFE
2009-10-21,Gurtnellen,Renewable energy,Hydro,,Run-of-river,0.18,6482,KW Leitschach ,553.72784,,2008-05-02,,Hinter Arni,UR,Elektrizitätswerk Altdorf AG (EWA),46.728,8.6355,BFE
2009-10-28,Chevenez,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.572,2906,B COMEXOR Chevenez -Centrale à biogaz ,1136.4196,,2009-05-07,,Les Collonges 71,JU,COMEXOR,47.3919,6.9967,BFE
2009-10-29,Satigny,Renewable energy,Solar,,Integrated unit,0.0419,1242,Grange viticole ,38.30349,,2008-05-01,,Route de l'allondon 31,GE,Domaine ROCHAIX S.A.,46.2154,6.0271,BFE
2009-10-30,Hagendorn,Renewable energy,Solar,,Connected unit,0.064,6332,PVA Turnhalle Hagendorn TH,59.17845,,2008-05-02,,Lorzenweidstrasse 81,ZG,WWZ Energie AG,47.2092,8.4292,BFE
2009-10-30,Savièse,Renewable energy,Hydro,,Drinking water plant,0.07,1965,Turbinage de Binii,57.1285,,2012-10-25,,Route de Binii,VS,Commune de Savièse,46.2528,7.3216,BFE
2009-11-01,Dietikon,Renewable energy,Solar,,Connected unit,0.09354,8953,"PV EKZ Dietikon - Bau 2, 7, 10",84.54327999999998,,2008-05-01,,Überlandstrasse 2,ZH,Elektrizitätswerke des Kantons Zürich (EKZ),47.4006,8.3974,BFE
2009-11-04,Wängi,Renewable energy,Solar,,Connected unit,0.05288,9545,PV EKT Arbon - UW Wängi,57.22381000000001,,2009-10-09,,"Annagarten, Murgstrasse 25",TG,EKT AG,47.4977,8.9674,BFE
2009-11-05,Grenchen,Renewable energy,Bioenergy,,Biomass and biogas,0.191,2540,BHKW 2 ARA Regio Grenchen,1482.9768000000001,,2008-07-02,,Archstrasse 68,SO,ARA Regio Grenchen,47.2031,7.3861,BFE
2009-11-09,Baar,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.526,6340,B Alfred Müller AG Baar - Vergäranlage Allmig ,2849.3756399999997,,2008-07-25,,Neuhofstrasse 10 / Allmig,ZG,Alfred Müller AG,47.2339,8.573,BFE
2009-11-10,Domat / Ems,Renewable energy,Solar,,Connected unit,0.06888,7013,PV Rhiienergie AG Domat/Ems - Freizeitanlage VIAL,13.87673,,2008-06-11,,Vial,GR,Rhiienergie AG,46.8193,9.4528,BFE
2009-11-11,Yverdon-les-Bains,Renewable energy,Solar,,Connected unit,0.0675,1400,PV Commune Yverdon-les-Bains - Collège du Cheminet salle de gymnastique - Yverdon-les-Bains,71.51867,,2009-07-03,,Rue du Cheminet 29,VD,Service des Energies Yverdon-les-Bains SEY,46.7867,6.6791,BFE
2009-11-11,Rickenbach,Renewable energy,Solar,,Connected unit,0.06167,6221,PV Genossenschaft Windenergieanlage Diegenstal GWD Rickenbach,60.63855,,2008-05-02,,Diegenstal 4 (Parz. 0772),LU,Genossenschaft Windenergieanlage Diegenstal GWD,47.2154,8.15,BFE
2009-11-12,Täuffelen,Renewable energy,Bioenergy,,Biomass and biogas,0.035,2575,BHKW ARA Region Täuffelen,164.66067999999999,,2008-07-07,,Allmendstrasse 19,BE,ARA Region Täuffelen,47.0607,7.1944,BFE
2009-11-15,Wichtrach,Renewable energy,Solar,,Connected unit,0.063,3114,PV Baumat AG - Daniel Annaheim - Wichtrach,52.62991,,2008-11-17,,Thalgutstrasse 2,BE,Baumat AG,46.8457,7.5818,BFE
2009-11-24,St-Gingolph,Renewable energy,Hydro,,Drinking water plant,0.35,1898,K St. Gingolph Energia SA St-Gingolph - MCH Croseau ,1392.6381999999999,,2008-05-02,,Chemin du Croseau,VS,St. Gingolph Energia SA,46.3838,6.8126,BFE
2009-11-25,Aarwangen,Renewable energy,Solar,,Connected unit,0.1051,4912,PV Rukop AG Aarwangen,109.686,,2008-05-01,,Bützbergstrasse 2,BE,Rukop AG,47.2367,7.7672,BFE
2009-11-25,St.Gallen,Renewable energy,Solar,,Connected unit,0.0347,9015,PV Bion Gewerbehaus AG St.Gallen,31.171100000000003,,2009-05-04,,Bionstrasse 4,SG,Bion Gewerbehaus AG,47.4056,9.3093,BFE
2009-11-26,Erstfeld,Renewable energy,Hydro,,Drinking water plant,0.0565,6472,TWKW Helltal Erstfeld,241.35189000000003,,2008-05-02,,Ernstfeldertal,UR,Gemeindewerke Erstfeld,46.8127,8.601,BFE
2009-11-27,Basel,Renewable energy,Solar,,Connected unit,0.0402,4053,PV Malermeisterverband Basel-Stadt,36.94155,,2009-09-24,,Lyonstrasse 10,BS,Malermeisterverband Basel-Stadt,47.5383,7.601,BFE
2009-11-30,Altdorf,Renewable energy,Bioenergy,,Biomass and biogas,0.13,6460,BHKW ARA Altdorf,771.1820399999998,,2008-05-01,,Giessenstrasse 42,UR,Abwasser Uri,46.8876,8.6412,BFE
2009-11-30,Kaiseraugst,Renewable energy,Solar,,Connected unit,1.08275,4303,PV F. Hoffmann-La Roche AG Kaiseraugst - Bau 229,534.04748,,2008-12-24,,Hirsrütiweg,AG,F. Hoffmann-La Roche AG,47.5359,7.7417,BFE
2009-12-02,Erlenbach,Renewable energy,Solar,,Connected unit,0.0672,8703,PVA ZSSAG Sporthalle/Turnhalle Allmendli Erlenbach,56.26317,,2008-06-02,,Im Allmendli 1,ZH,Zürichsee Solarstrom AG,47.3019,8.5914,BFE
2009-12-02,Erlenbach,Renewable energy,Solar,,Connected unit,0.0744,8703,PV ZSSAG Oberer Hitzberg Erlenbach,68.56888000000001,,2008-06-02,,Schulhausstrasse 63/65,ZH,Zürichsee Solarstrom AG,47.3019,8.5914,BFE
2009-12-02,Erlenbach,Renewable energy,Solar,,Connected unit,0.0511,8703,PVA ZSSAG Pavillions Allmendli Erlenbach,40.03227,,2008-06-02,,Schulhausstrasse 68,ZH,Zürichsee Solarstrom AG,47.3019,8.5914,BFE
2009-12-03,Laax,Renewable energy,Hydro,,Drinking water plant,0.07,7031,TWKW Lavanuz Laax,185.26110999999997,,2008-05-02,,Via Principala 91,GR,Gemeinde Laax c/o Bauamt Laax,46.8113,9.2662,BFE
2009-12-04,Vallorbe,Renewable energy,Hydro,,Diversion plant,0.08,1337,Centrale hydraulique des usines métallurgique de Vallorbe SA,16.933049999999998,,2008-05-02,,Route du Moutier 49,VD,Usines Metallurgiques de Vallorbe SA,46.708,6.3745,BFE
2009-12-09,Pratteln,Renewable energy,Solar,,Connected unit,0.16875,4133,PV Elektra Baselland Pratteln - Aquabasilea ,161.86449,,2008-10-08,,Hardstrasse 55,BL,EBL (Genossenschaft Elektra Baselland),47.5174,7.6941,BFE
2009-12-12,Schafisheim,Renewable energy,Solar,,Integrated unit,0.0385,5503,PVA-SF-Dachersatz Schulweg 20 Schafisheim,34.74585,,2008-05-01,,Schulweg 20,AG,Elektrizitätswerk Schafisheim,47.3753,8.1383,BFE
2009-12-14,St.Gallen-Winkeln,Renewable energy,Solar,,Connected unit,0.1124,9015,PV Werkhof St.Gallen Winkeln,102.69813999999998,,2008-05-01,,Bildweiherstrasse 9,SG,St. Gallisch-Appenzellische Kraftwerke AG (SAK),47.4056,9.3093,BFE
2009-12-14,Basel,Renewable energy,Solar,,Connected unit,0.055,4003,PV Helvetia Schweizerische Versicherungsgesellschaft AG Basel,45.017140000000005,,2009-09-28,,Steinengraben 41,BS,Helvetia Schweizerische Lebensversicherungsgesellschaft AG,47.5592,7.5788,BFE
2009-12-14,Tarasp,Renewable energy,Hydro,,Drinking water plant,0.92,7553,*TWKW Ischla Tarasp,1196.474,,2008-05-29,,Fontana,GR,Gemeinde Tarasp,46.7349,10.2464,BFE
2009-12-15,Kollbrunn,Renewable energy,Hydro,,Diversion plant,0.36,8483,WKW Elaqua AG Kollbrunn,1134.9234000000001,,2008-05-05,,Tösstalstrasse 23,ZH,Axpo Kleinwasserkraft AG,47.4551,8.7852,BFE
2009-12-15,Basel,Renewable energy,Solar,,Connected unit,0.0548,4056,PV Volta Haus AG Basel,48.650499999999994,,2009-11-12,,Saint-Louis Strasse 31,BS,Volta Haus AG,47.5696,7.5735,BFE
2009-12-15,Longirod,Renewable energy,Solar,,Integrated unit,0.045,1261,PV Christian Rüfenacht Longirod,7.311,,2008-05-01,,Les Cottieres ,VD,Services Industriels de Genève (SIG),46.48,6.2338,BFE
2009-12-16,Frauenfeld,Renewable energy,Solar,,Connected unit,0.0331,8500,PVA Solarstrom-Pool Schmidgasse 34 Frauenfeld (L1),10.575,,2008-05-02,,Schmidgasse 34,TG,Solarstrom-Pool Thurgau ,47.5603,8.9036,BFE
2009-12-17,Cartigny,Renewable energy,Solar,,Integrated unit,0.0502,1236,Communde de Cartigny,55.56427999999999,,2008-08-26,,rue du Trabli 5,GE,Commune de Cartigny,46.1737,6.0287,BFE
2009-12-17,L'Isle,Renewable energy,Solar,,Connected unit,0.0333,1148,PV Electro-Sol SA L'Isle,31.074810000000003,,2008-05-21,,Rue des Artisans 2,VD,Electro-Sol SA,46.6227,6.4008,BFE
2009-12-17,Fieschertal,Renewable energy,Solar,,Connected unit,0.0324,3984,*PVA Russi Projekt GOMS12a2RUSS Fieschertal,4.882,,2008-05-02,,Rossmatte B,VS,Russi u. Söhne Fiesch-Fieschertal AG,46.4886,8.05,BFE
2009-12-17,Ecublens,Renewable energy,Solar,,Connected unit,0.5549,1024,*PVA Entrepôts IV Ecublens,72.78624,,2008-05-02,,Chemin du Dévent ,VD,Romande Energie SA,46.5287,6.56,BFE
2009-12-17,Fieschertal,Renewable energy,Solar,,Connected unit,0.0324,3984,*PV Russi Metallbau AG Fieschertal,30.821,,2008-05-02,,Rossmatte B,VS,Russi Metallbau AG,46.4886,8.05,BFE
2009-12-17,Ecublens,Renewable energy,Solar,,Connected unit,0.5549,1024,*PVA Entrepôts IV Ecublens,520.96278,,2008-05-02,,Chemin du Dévent ,VD,Romande Energie Renouvelable SA,46.5287,6.56,BFE
2009-12-17,Ecublens,Renewable energy,Solar,,Connected unit,0.57286,1024,*PV Romande Energie SA Ecublens - Entrepôts III,76.02184,,2008-05-02,,Chemin du Dévent ,VD,Romande Energie SA,46.5287,6.56,BFE
2009-12-17,Ecublens,Renewable energy,Solar,,Connected unit,0.57286,1024,*PV Romande Energie Renouvelable SA Ecublens - Entrepôts III,545.77758,,2008-05-02,,Chemin du Dévent ,VD,Romande Energie Renouvelable SA,46.5287,6.56,BFE
2009-12-18,Basel,Renewable energy,Solar,,Connected unit,0.0491,4018,PV Alteno Solar AG Basel - Gundeldingerfeld,50.81304999999999,,2009-11-06,,Dornacherstrasse 192,BS,Alteno Solar AG,47.5667,7.6,BFE
2009-12-18,Rhäzüns,Renewable energy,Solar,,Connected unit,0.0504,7403,PV Werkhof Bon Rhä Tamins,8.40855,,2008-05-02,,Crest Ault.,GR,Rhiienergie AG,46.7859,9.395,BFE
2009-12-18,Savigny,Renewable energy,Solar,,Connected unit,0.0531,1073,PV Frutiger SA Vaud Savigny,48.50725,,2008-05-01,,Chemin Publoz 5,VD,Frutiger SA Vaud,46.5598,6.7421,BFE
2009-12-19,Soyhières,Renewable energy,Hydro,,other Hydro,0.15,2805,DKW Bellerive Birs Restwasserkraftanlage Delémont-Soyhières,567.2664000000001,,2008-05-04,,Route de Bellerive 7,JU,Entrepôts de Bellerive Delémont SA,47.397,7.3822,BFE
2009-12-21,Biel,Renewable energy,Bioenergy,,Biomass and biogas,0.215,2503,Klärgasanlage ARA Region Biel AG Biel,1161.9657,,2008-05-02,,Portstrasse 40,BE,ARA Region Biel AG,47.1311,7.2519,BFE
2009-12-22,Oberrickenbach,Renewable energy,Hydro,,Drinking water plant,0.08,6387,K KWKW Guber Oberrickenbach,471.36620999999997,,2008-05-02,,Bergblick ,NW,Wasserversorgung Oberrickenbach,46.878,8.4399,BFE
2009-12-22,Le Lignon,Renewable energy,Solar,,Connected unit,0.0806,1219,PV Services Industriels de Genève (SIG) Le Lignon - SOLAR 8.2,63.784949999999995,,2010-11-02,,site du Lignon,GE,Services Industriels de Genève (SIG),46.2122,6.1097,BFE
2009-12-22,Meyrin,Renewable energy,Solar,,Connected unit,0.655,1217,PV Services Industriels de Genève SIG Meyrin,255.54902,,2008-05-02,,Avenue de la Feuillasse 24,GE,Services Industriels de Genève (SIG),46.2319,6.0712,BFE
2009-12-30,Muntelier,Renewable energy,Bioenergy,,Biomass and biogas,0.109,3286,BHKW ARA Region Murten,512.71241,,2009-07-09,,Hauptstrasse 153,FR,ARA Region Murten,46.942,7.136,BFE
2010-01-12,Frauenfeld,Renewable energy,Hydro,,Run-of-river,0.1,8500,KWKW Zeughausbrücke Frauenfeld,494.14286000000004,,2008-06-25,,Eisenwerkstrasse 2,TG,Werkbetriebe Frauenfeld,47.5603,8.9036,BFE
2010-01-12,Lausanne,Renewable energy,Solar,,Connected unit,0.0418,1007,PV Philip Morris International Management SA Lausanne,28.68432,,2008-05-02,,Avenue De Cour 107,VD,Philip Morris International Management SA,46.5177,6.609,BFE
2010-01-15,Riddes,Renewable energy,Hydro,,Drinking water plant,0.36,1908,K FMV SA Riddes - Centrale de Riddes,1080.8828999999998,,2008-05-02,,Chemin du Pied du Mont ,VS,FMV SA,46.1671,7.2153,BFE
2010-01-15,Horgen,Renewable energy,Solar,,Connected unit,0.037,8810,PV Gemeindewerke Horgen -Käpfnach,36.31343,,2010-03-31,,Seestrasse 335,ZH,Gemeindewerke Horgen,47.2573,8.6042,BFE
2010-01-21,Sissach,Renewable energy,Bioenergy,,Biomass and biogas,0.18,4450,BHKW ARA Ergolz 1 Sissach,672.5007999999999,,2008-05-02,,Wuhrweg 54,BL,Amt für Industrielle Betriebe AIB,47.473,7.8057,BFE
2010-01-29,Vernier,Renewable energy,Solar,,Connected unit,0.0324,1214,PV Ri Realim SA Vernier,29.74329,,2009-12-14,,Route de Pré-Bois 6,GE,Ri Realim SA,46.2134,6.0809,BFE
2010-01-29,Vernier,Renewable energy,Solar,,Connected unit,0.0617,1214,PV Ri Realim SA Vernier - bâtiment G-H,63.37317999999999,,2009-12-14,,Chemin de Blandonnet 10,GE,Ri Realim SA,46.2134,6.0809,BFE
2010-02-05,Renens,Renewable energy,Solar,,Connected unit,0.0441,1020,*PV - Collège du Léman - Renens ,41.327839999999995,,2009-04-15,,Rue du Léman 10,VD,Romande Energie Renouvelable SA,46.5364,6.5895,BFE
2010-02-05,Renens,Renewable energy,Solar,,Connected unit,0.0441,1020,*PV - Collège du Léman - Renens ,5.9686900000000005,,2009-04-15,,Rue du Léman 10,VD,Romande Energie SA,46.5364,6.5895,BFE
2010-02-18,Gland,Renewable energy,Solar,,Connected unit,0.145,1196,*PV Romande Energie SA Gland - UICN,13.66456,,2009-12-23,,Rue Mauverney 28,VD,Romande Energie SA,46.4184,6.2696,BFE
2010-02-18,Gland,Renewable energy,Solar,,Connected unit,0.145,1196,*PV Romande Energie SA Gland - UICN,136.01799000000003,,2009-12-23,,Rue Mauverney 28,VD,Romande Energie Renouvelable SA,46.4184,6.2696,BFE
2010-02-20,Giubiasco,Renewable energy,Bioenergy,,Biomass and biogas,18.6,6512,Impianto Cantonale di Termovalorizzazione dei Rifiuti,52920.78875,,2008-05-05,,Strada Dell'Argine 5,TI,Azienda Cantonale dei Rifiuti,46.1722,8.9976,BFE
2010-03-01,Flawil,Renewable energy,Solar,,Connected unit,0.1162,9230,PV Glatt Solar GmbH Flawil - Eigenmann AG,102.63753999999999,,2009-03-12,,Glatthaldenstrasse 20,SG,Glatt Solar GmbH,47.409,9.1896,BFE
2010-03-01,Le Châble,Renewable energy,Hydro,,Drinking water plant,0.25,1934,Hydro Curala Le Châble,2009.8395000000003,,2009-04-27,,Place de Curala 5,VS,Services Industriels de Bagnes (SIB),46.0822,7.2118,BFE
2010-03-02,Ennenda,Renewable energy,Hydro,,Run-of-river,0.815,8755,KW Mühlefuhr Ennenda,4875.58891,,2008-05-02,,Mühlefuhr 2,GL,Holzbau Zweifel AG,47.0439,9.0978,BFE
2010-03-04,Gersau,Renewable energy,Hydro,,Diversion plant,0.272,6442,KWKW Gillen Gersau,1070.50728,,2008-05-06,,Bläuistrasse 13,SZ,Camenzind & Co. AG,46.998,8.5136,BFE
2010-03-09,Aigle,Renewable energy,Solar,,Connected unit,0.0571,1860,*PV Halle de Novasalles Aigle,10.734,,2008-05-02,,Route Novasalles,VD,Romande Energie SA,46.3139,6.969,BFE
2010-03-09,Aigle,Renewable energy,Solar,,Connected unit,0.0571,1860,*PV Halle de Novasalles Aigle,59.60025,,2008-05-02,,Route Novasalles,VD,Romande Energie Renouvelable SA,46.3139,6.969,BFE
2010-03-09,Kaisten,Renewable energy,Bioenergy,,übrige Biomasse - WKK-Anlage,0.32,5082,B HKW Biogas AG Fricktal Naef Kaisten ,2456.17605,,2008-05-02,,Rüti 486,AG,Biogas AG Fricktal,47.5365,8.0428,BFE
2010-03-17,Carouge,Renewable energy,Solar,,Connected unit,0.035,1227,PV Services Industriels de Genève (SIG) Carouge - 14 Pictet 1,33.74176,,2010-10-18,,Route des Acacias 60,GE,Services Industriels de Genève (SIG),46.1795,6.1391,BFE
2010-03-31,Rheinfelden,Renewable energy,Solar,,Connected unit,0.116,4310,PV AEW Energie AG / Regional-Center Rheinfelden,103.76733,,2009-12-16,,Riburgerstrasse 5,AG,AEW Energie AG,47.551,7.7977,BFE
2010-03-31,Thônex,Renewable energy,Solar,,Connected unit,0.0513,1226,*PV Romande Energie SA Thônex - Centrale solaire de Caran d'Ache,4.31568,,2009-12-04,,Chemin du Foron 19,GE,Romande Energie SA,46.1909,6.1975,BFE
2010-03-31,Thônex,Renewable energy,Solar,,Connected unit,0.0513,1226,*PV Romande Energie Renouvelable SA Thônex - Centrale solaire de Caran d'Ache,41.70272,,2009-12-04,,Chemin du Foron 19,GE,Romande Energie Renouvelable SA,46.1909,6.1975,BFE
2010-04-01,Echandens,Renewable energy,Solar,,Connected unit,0.03,1026,PV Commune d'Echandens - Nouveau Collège,15.227180000000002,,2009-12-09,,Chemin du Chaney 77,VD,Commune d'Echandens,46.5412,6.5371,BFE
2010-04-01,Stans,Renewable energy,Solar,,Connected unit,0.567,6370,PVA Umbau & Erweiterung MMM Länderpark Stans,534.5257599999999,,2008-05-01,,Bitzistrasse 2,NW,Kantonales Elektrizitätswerk Nidwalden - EWN ,46.9515,8.3893,BFE
2010-04-01,Ollon,Renewable energy,Bioenergy,,Biomass and biogas,0.05,1867,CCF de la STEP d'Ollon,175.61475,,2009-02-19,,Station d'épuration ,VD,Commune d'Ollon ,46.3171,7.028,BFE
2010-04-07,Säriswil,Renewable energy,Solar,,Integrated unit,0.0306,3049,PV Fritz Wyss AG Säriswil,32.841,,2008-09-29,,Wahlendorfstrasse 20 B,BE,Fritz Wyss AG,46.9923,7.3348,BFE
2010-04-09,Elsau,Renewable energy,Solar,,Connected unit,0.0642,8352,PV regiosol AG Elsau - Werkgebäude,51.20924,,2008-05-01,,Auwiesenstrasse 11,ZH,regiosol AG,47.4869,8.7975,BFE
2010-04-12,Bischofszell,Renewable energy,Bioenergy,,Biomass and biogas,0.175,9220,BHKW Klärgasnutzung ARA Bischofszell,1286.6523,,2008-12-10,,Gihlstrasse,TG,AV Region Bischofszell,47.4961,9.2434,BFE
2010-04-13,Gimel,Renewable energy,Solar,,Integrated unit,0.0739,1188,*PV Collège du Marais Gimel,10.2,,2008-05-02,,Avenue de la Rosière,VD,Romande Energie SA,46.5199,6.2567,BFE
2010-04-13,Gimel,Renewable energy,Solar,,Integrated unit,0.0739,1188,*PV Collège du Marais Gimel,62.12625,,2008-05-02,,Avenue de la Rosière,VD,Romande Energie Renouvelable SA,46.5199,6.2567,BFE
2010-04-14,Ittigen,Renewable energy,Solar,,Connected unit,0.4286,3063,*PV Biogas- und Photovoltaikanlagen Ittigen,0.0,,2008-05-02,,Länggasse 100,BE,Biogas- und Solaranlage Ittigen,46.9805,7.4786,BFE
2010-04-15,St-Ursen,Renewable energy,Hydro,,Drinking water plant,0.03,1717,Turbinage eau de la Hofmatt à Bourguillon St.-Ursen,143.309,,2009-12-23,,Römerswil 9b,FR,Eau de Fribourg - Freiburger Wasser SA,46.7894,7.2286,BFE
2010-04-20,Disentis,Renewable energy,Hydro,,Drinking water plant,0.047,7180,TKW Sax Disentis Koordinaten 707 073 / 173 246,314.15556,,2008-05-02,,Gassa da Cuoz 21,GR,Corpraziun d'aua Spina da Vin,46.7457,8.8427,BFE
2010-04-22,Les Mosses,Renewable energy,Hydro,,Drinking water plant,0.085,1862,Micro centrale hydraulique de Lioson I,470.3355,,2009-05-01,,-,VD,Commune d'Ormont-Dessous,46.3943,7.104,BFE
2010-04-25,Büsserach,Renewable energy,Solar,,Connected unit,0.23843,4227,PV Aqua Solar AG Büsserach - AS3a,35.41045,,2009-11-30,,Industriering 66,SO,Aqua Solar AG,47.3899,7.5487,BFE
2010-04-26,Flims-Dorf,Renewable energy,Hydro,,Run-of-river,0.101,7017,KW Lag Tiert,279.37500000000006,,2008-05-02,,Via dil Casti 17,GR,Flims Electric AG,46.8551,9.2685,BFE
2010-04-27,Rothenthurm,Renewable energy,Solar,,Integrated unit,0.1013,6418,PV Bezirk Schwyz - MPS Rothenthurm,68.03031,,2008-05-01,,Müllerstrasse 12 (Chilematt 64),SZ,Bezirk Schwyz - Ressort Liegenschaften,47.0973,8.6772,BFE
2010-04-27,Mels,Renewable energy,Hydro,,Drinking water plant,0.04,8887,TWKW Runggalina Mels,301.90553000000006,,2008-11-14,,Runggalinaweg,SG,"Politische Gemeinde Mels, Elektrizitäts- & Wasserwerk",47.0444,9.4264,BFE
2010-04-29,Hérémence,Renewable energy,Hydro,,Run-of-river,0.6,1987,K FM de la Borgne SA Hérémence - Centrale de Sauterôt,1821.5040499999993,,2008-12-23,,Sauterôt ,VS,FM de la Borgne SA,46.0969,7.3935,BFE
2010-05-01,Trubschachen,Renewable energy,Solar,,Connected unit,0.1151,3555,PV Jakob AG Trubschachen - Seilerei,54.59430000000001,,2009-06-29,,Dorfstrasse 34,BE,Jakob AG,46.905,7.863,BFE
2010-05-03,Diepoldsau,Renewable energy,Solar,,Connected unit,0.0657,9444,PV Hutter Natursteine AG Diepoldsau,71.85373,,2010-05-15,,Hohenemserstrasse 37,SG,Hutter Natursteine AG,47.3805,9.6472,BFE
2010-05-04,Grabs,Renewable energy,Hydro,,Drinking water plant,0.0912,9472,TWKW Grist Quellen / TWKW Grist Bergwasser,482.06544,,2008-05-20,,Griststrasse,SG,Technische Betriebe Grabs,47.1826,9.4488,BFE
2010-05-04,Bad Ragaz,Renewable energy,Bioenergy,,Biomass and biogas,0.065,7310,BHKW ARA Bad Ragaz,297.06145000000004,,2008-06-26,,Heulösergangstrasse 24,SG,Politische Gemeinde Bad Ragaz,46.9915,9.4797,BFE
